"","GEOID_2020","percentage_age_65_and_over","percentage_prime_age","percentage_employed","percentage_education","population_total","percentage_white","percentage_ethnicity_black_hispanic_latino","median_gross_rent_percent_of_income","percentage_income_below_poverty","percentage_small","percentage_tenure_owner","housing_units_total","percentage_housing_units_vacant","percentage_travel_time_less_than_30","percentage_mhc","percentage_urban","population_1000s","median_household_income_1000s","housing_value_median_1000s","all_permits","year"
"1",180010301002,13.0834512022631,19.7312588401697,96.0159362549801,10.9425785482124,1414,98.9795918367347,1.61943319838057,17.2,4.62762111352133,46.5587044534413,95.1417004048583,525,5.14285714285714,69.7503671071953,24.3809523809524,0.959692898272553,1.414,70.9581006504065,148.042296747967,121,2000
"2",180010302002,16.8789808917197,19.4267515923567,94.6611909650924,14.0322580645161,942,97.025171624714,6.72853828306264,14.6,5.30785562632696,69.3735498839907,61.2529002320186,463,5.83153347732181,69.4510739856802,0,100,0.942,47.4186239837398,117.231463414634,121,2000
"3",180010302003,19.5121951219512,20.1070791195717,96.969696969697,3.47417840375587,1681,92.2868741542625,8.17438692098093,22,7.75193798449612,67.1662125340599,63.2152588555858,786,6.23409669211196,77.7923784494087,16.412213740458,100,1.681,42.2469128861789,94.6869512195122,121,2000
"4",180010302004,8.01435406698565,23.5645933014354,92.5855513307985,14.7113594040968,836,97.2560975609756,4.54545454545455,20.1,0.721153846153846,54.5454545454545,66.0606060606061,373,10.9919571045576,72.9613733905579,14.745308310992,46.0916442048518,0.836,65.6375957723577,158.412772357724,121,2000
"5",180010303004,13.992297817715,19.2554557124519,97.7401129943503,7.67634854771784,779,97.1698113207547,5.04731861198738,13.7,9.16666666666667,60.8832807570978,72.2397476340694,350,6.28571428571429,83.9393939393939,0,100,0.779,55.6654065447154,110.468109756098,121,2000
"6",180010306002,10.8219178082192,16.8493150684932,98.2417582417582,8.31509846827133,730,95.7446808510638,2.38907849829352,27.7,6.84931506849315,57.679180887372,79.8634812286689,282,5.67375886524823,86.6213151927438,26.5957446808511,94.4983818770227,0.73,48.9185855284553,87.1721138211382,121,2000
"7",180010307004,6.52866242038217,22.1337579617834,93.6708860759494,4.04624277456647,628,96.8379446640316,1.58730158730159,25.2,17.6090468497577,60.3174603174603,58.7301587301587,269,6.31970260223048,70.0704225352113,9.29368029739777,0,0.628,43.3981859756098,83.5649918699187,121,2000
"8",180030007042,8.30295666261644,26.6099635479951,92.7910052910053,19.047619047619,2469,90.1244813278008,6.75562969140951,22,9.61864406779661,77.9816513761468,35.9466221851543,1299,7.23633564280216,87.4720357941834,4.6189376443418,100,2.469,50.7702414634146,117.682353658537,1791,2000
"9",180030008001,14.2317380352645,28.0856423173804,94.0758293838863,6.53465346534654,794,97.9166666666667,2.65486725663717,23.9,6.70037926675095,70.2064896755162,75.2212389380531,369,8.40108401084011,88.8594164456233,5.14905149051491,100,0.794,54.3803693495935,92.4325,1791,2000
"10",180030023002,12.3076923076923,21.7846153846154,83.187134502924,6.65258711721225,1625,39.4568690095847,53.12,24.5,21.5384615384615,57.76,65.6,706,10.9065155807365,67.2131147540984,12.8895184135977,100,1.625,38.1227701219512,53.8062357723577,1791,2000
"11",180030033042,7.69732550554468,30.0065231572081,98.0676328502416,14.5927601809955,1533,81.0848400556328,14.1226818830243,22.4,15.814266487214,72.1825962910128,26.1055634807418,808,11.0148514851485,84.4092570036541,11.7574257425743,100,1.533,43.4793462195122,82.5129146341463,1791,2000
"12",180030035002,39.5173453996983,15.4348919054801,83.5051546391753,5.84837545126354,1989,81.8548387096774,12.0261437908497,27,25.699558173785,79.3464052287582,12.156862745098,882,15.6462585034014,75.3363228699552,2.72108843537415,100,1.989,29.1199949186992,99.947337398374,1791,2000
"13",180030037002,15.8870255957635,21.3592233009709,96.0815047021944,7.88235294117647,1133,97.3509933774834,4.37636761487965,21.1,4.76610767872904,60.1750547045952,91.6849015317287,487,4.72279260780287,88.5860306643952,4.72279260780287,100,1.133,66.3590201626016,111.52018699187,1791,2000
"14",180030038003,7.811080835604,22.4341507720254,91.0358565737052,2.02702702702703,1101,90.1531728665208,10.4783599088838,18.4,17.983651226158,63.7813211845103,41.2300683371298,513,9.94152046783626,87.4157303370787,10.3313840155945,100,1.101,39.3777479674797,100.548524390244,1791,2000
"15",180030039012,21.0526315789474,18.6813186813187,92.4406047516199,11.4644351464435,1729,97.3901098901099,2.42261103633917,13.3,5.80304806565064,65.4104979811575,91.9246298788694,752,3.19148936170213,81.1524609843938,6.64893617021277,100,1.729,62.3235524796748,105.658613821138,1791,2000
"16",180030039023,10.5523125280647,29.0525370453525,92.1241050119332,14.5231213872832,2227,81.9253438113949,18.3251231527094,20.4,11.8758434547908,69.8522167487685,35.4679802955665,1143,10.761154855643,77.112676056338,30.5336832895888,100,2.227,52.686525,24.1977764227642,1791,2000
"17",180030102022,8.7945413191812,25.8529188779378,97.8787878787879,15.3020134228188,1319,98.2683982683983,0.432900432900433,25,8.75190258751903,53.6796536796537,84.1991341991342,485,4.74226804123711,73.9130434782609,15.8762886597938,0,1.319,63.0149175203252,135.417369918699,1791,2000
"18",180030106012,11.6031886625332,21.4348981399469,94.0677966101695,8,1129,95,3.84615384615385,35.6,3.36581045172719,64.7773279352227,90.4858299595142,554,9.56678700361011,87.2868217054264,18.2310469314079,49.1773308957952,1.129,69.8053245934959,148.793780487805,1791,2000
"19",180030106023,13.4881149806523,23.0514096185738,94.9248120300752,13.7392661982826,1809,92.8467153284672,2.46376811594203,14.2,2.26644555002764,60,91.1594202898551,796,16.5829145728643,82.1319796954315,65.9547738693467,73.8442822384428,1.809,57.6523295528455,67.1826463414634,1791,2000
"20",180030106041,10.1769911504425,30.9053778080327,97.2443355786895,6.373861810391,2938,97.3444613050076,3.20417287630402,31.1,17.9714091218516,69.8211624441133,93.5171385991058,1434,7.94979079497908,77.9959377115775,91.1436541143654,100,2.938,47.2502916260163,22.544512195122,1791,2000
"21",180030106042,10.1769911504425,30.9053778080327,97.2443355786895,6.373861810391,2938,97.3444613050076,3.20417287630402,31.1,17.9714091218516,69.8211624441133,93.5171385991058,1434,7.94979079497908,77.9959377115775,91.1436541143654,100,2.938,47.2502916260163,22.544512195122,1791,2000
"22",180030108113,6.07734806629834,25.414364640884,90.7590759075908,21.2765957446809,543,87.5502008032128,11.284046692607,18,3.31491712707182,71.2062256809339,57.1984435797665,260,4.23076923076923,88.3018867924528,15.3846153846154,100,0.543,61.9974085365854,128.954609756098,1791,2000
"23",180030108131,5.47422024188415,30.4901336728199,95.372460496614,11.6329874385582,3142,92.24,4.50522928399035,19.5,13.9220109571383,57.6830249396621,79.0828640386163,1465,14.3344709897611,85.6619890176937,57.8839590443686,100,3.142,59.5595952845528,47.3434756097561,1791,2000
"24",180030108133,5.47422024188415,30.4901336728199,95.372460496614,11.6329874385582,3142,92.24,4.50522928399035,19.5,13.9220109571383,57.6830249396621,79.0828640386163,1465,14.3344709897611,85.6619890176937,57.8839590443686,100,3.142,59.5595952845528,47.3434756097561,1791,2000
"25",180030109004,9.65783664459161,21.523178807947,95.142555438226,9.63172804532578,1812,98.9505247376312,1.49925037481259,21.1,5.32150776053215,53.2233883058471,78.4107946026987,696,4.16666666666667,60.9339407744875,17.3850574712644,0,1.812,61.9974085365854,102.051491869919,1791,2000
"26",180030112011,12.1638924455826,23.6875800256082,90.9502262443439,5.64010743061773,1562,94.5371775417299,4.44104134762634,24,12.9961587708067,63.8591117917305,80.5513016845329,761,13.4034165571616,79.739507959479,47.4375821287779,100,1.562,54.2135399593496,83.4146951219512,1791,2000
"27",180030112012,10.4156866715746,24.7977606540848,91.712962217463,7.10295605212145,1243.66666666667,94.0592677864406,5.61556148838806,21.3666666666667,12.3983178186487,61.3043046163159,72.13744596078,598,13.8375718224215,77.9326940222726,43.7574076936951,100,1.24366666666667,53.6769805691057,75.4489674796748,1791,2000
"28",180030112021,15.4967602591793,19.2224622030238,95.1219512195122,5.231037489102,1852,98.9928057553957,1.29310344827586,36.5,5.38922155688623,57.183908045977,80.0287356321839,711,2.25035161744022,82.4729891956783,2.10970464135021,100,1.852,57.5095476422764,92.2822032520325,1791,2000
"29",180030112022,7.46685275645499,23.3077459874389,98.8929889298893,7.13463751438435,1433,98.5507246376812,3.01953818827709,46.7,10.2889358703312,55.417406749556,92.0071047957371,573,3.66492146596859,85.1145038167939,42.0593368237347,87.1575342465753,1.433,52.6669864227642,74.246593495935,1791,2000
"30",180030113041,11.2591734260332,16.8597914252607,95.9886403975861,9.7394540942928,5178,65.1362260343088,33.0474268415742,25.7,7.84770784770785,57.3158425832492,72.6538849646821,2111,6.11084793936523,75.5905511811024,9.52155376598768,86.2624348649929,5.178,66.7332590650407,122.942739837398,1791,2000
"31",180030113042,11.2591734260332,16.8597914252607,95.9886403975861,9.7394540942928,5178,65.1362260343088,33.0474268415742,25.7,7.84770784770785,57.3158425832492,72.6538849646821,2111,6.11084793936523,75.5905511811024,9.52155376598768,86.2624348649929,5.178,66.7332590650407,122.942739837398,1791,2000
"32",180030117012,10.5722599418041,15.4219204655674,97.1830985915493,9.5166163141994,1031,96.1630695443645,3.0952380952381,19.4,2.14424951267057,62.3809523809524,93.5714285714286,448,6.47321428571429,75.6363636363636,52.4553571428571,0,1.031,68.1039654065041,79.5069796747968,1791,2000
"33",180030118011,13.1236442516269,21.0412147505423,95.8568738229755,11.7088607594937,922,96.2121212121212,2.87081339712919,NA,5.85683297180043,64.8325358851675,93.7799043062201,430,8.6046511627907,77.7327935222672,57.4418604651163,71.6483516483516,0.922,60.2434454878049,61.4713699186992,1791,2000
"34",180030118014,10.146252285192,17.5502742230347,89.9852724594993,13.6363636363636,1094,100,1.00755667506297,18.2,3.19926873857404,55.6675062972292,91.4357682619647,476,14.0756302521008,70.4174228675136,22.6890756302521,0,1.094,79.246966300813,158.112178861789,1791,2000
"35",180030119002,15.6677181913775,23.5541535226078,96.7462039045553,11.3144758735441,951,92.3287671232877,2.20994475138122,30,6.17021276595745,56.9060773480663,84.8066298342541,401,7.98004987531172,58.9861751152074,26.1845386533666,0,0.951,54.2135399593496,101.600601626016,1791,2000
"36",180039800021,20.3703703703704,12.037037037037,100,0,108,100,1.61290322580645,30,9.25925925925926,80.6451612903226,45.1612903225806,74,17.5675675675676,100,44.5945945945946,100,0.108,30.9987042682927,155.406837398374,1791,2000
"37",180050104001,8.37145471180238,26.715462031107,96.260017809439,1.4365522745411,2186,90.9598214285714,4.29988974641676,NA,8.2983682983683,59.4266813671444,94.8180815876516,952,5.88235294117647,83.0348727615457,81.827731092437,99.4807892004154,2.186,55.3122091869919,35.0191422764228,212,2000
"38",180050108002,24.346257889991,16.4111812443643,92.2935779816514,5.88235294117647,1109,98.9059080962801,2.11864406779661,18.9,8.29576194770063,68.0084745762712,72.8813559322034,477,2.93501048218029,81.4968814968815,7.54716981132075,100,1.109,50.292297804878,119.035024390244,212,2000
"39",180050111011,6.82196339434276,8.81863560732113,97.8851963746224,32.4324324324324,601,95.0617283950617,2.08333333333333,NA,8.15307820299501,56.6666666666667,82.9166666666667,259,5.01930501930502,73.8255033557047,10.4247104247104,22.9249011857708,0.601,61.0580538617886,178.702833333333,212,2000
"40",180050111014,6.53759820426487,27.8619528619529,96.4021164021164,5.95348837209302,3564,97.0242756460454,2.33100233100233,17.8,8.99887514060742,48.5625485625486,93.0846930846931,1363,6.16287600880411,77.8935185185185,52.2377109317682,77.4617067833698,3.564,55.2280430081301,60.5695894308943,212,2000
"41",180050111022,13.75,20.5434782608696,96.4035964035964,7.87929589270746,1840,100,1.36425648021828,16.3,7.5,57.8444747612551,89.7680763983629,780,3.97435897435897,84.070796460177,51.6666666666667,93.3246073298429,1.84,60.2314217479675,50.6500040650407,212,2000
"42",180050112003,15.8453373768006,22.89613343442,93.8610662358643,9.72388955582233,1319,100,0.627615062761506,19.4,7.56880733944954,52.7196652719665,82.8451882845188,511,6.26223091976517,64.4859813084112,18.9823874755382,82.3529411764706,1.319,58.657814796748,116.780573170732,212,2000
"43",180050113002,4.25,24.375,98.991935483871,24.2718446601942,800,100,2.13523131672598,18.2,8.61850443599493,48.3985765124555,83.9857651245552,284,7.04225352112676,70.8971553610503,17.2535211267606,0,0.8,96.753531504065,177.951349593496,212,2000
"44",180050114001,10.6104651162791,19.0406976744186,98.6046511627907,31.9018404907975,688,91.358024691358,7.88381742738589,12.9,1.32547864506627,59.7510373443983,79.253112033195,256,5.859375,90.6329113924051,12.109375,5.46875,0.688,101.137687642276,266.175540650407,212,2000
"45",180050114002,10.7826086956522,23.6521739130435,92.3841059602649,6.09271523178808,1150,95.8515283842795,5.56792873051225,31.3,15.2097902097902,56.347438752784,73.9420935412027,498,8.23293172690763,79.7101449275362,24.0963855421687,70.8163265306122,1.15,46.340996300813,101.750898373984,212,2000
"46",180050114003,11.4427860696517,23.7147595356551,97.7477477477478,7.18711276332094,1206,98.0088495575221,3.03687635574837,13.9,7.66638584667228,57.0498915401301,87.6355748373102,495,7.27272727272727,84.4197138314785,26.8686868686869,0,1.206,64.8154725609756,129.706093495935,212,2000
"47",180050115002,6.69456066945607,21.9665271966527,97.0976253298153,14.9372862029647,1434,99.412915851272,1.17647058823529,20.6,9.6931659693166,54.3137254901961,86.6666666666667,530,4.71698113207547,80.9523809523809,7.16981132075472,0,1.434,90.7311408130081,148.643483739837,212,2000
"48",180050115005,7.42753623188406,28.804347826087,97.4025974025974,11.0795454545455,552,100,5.06912442396313,27,4.34782608695652,53.9170506912442,70.9677419354839,212,3.77358490566038,78.3333333333333,18.8679245283019,59.5555555555556,0.552,63.7122944308943,142.781910569106,212,2000
"49",180099751002,9.88593155893536,19.5437262357414,95.6973293768546,5.83333333333333,1315,96.0600375234522,0.757575757575758,22.7,9.63762528912876,59.280303030303,73.4848484848485,603,9.12106135986733,61.6639477977161,20.3980099502488,0,1.315,50.3494105691057,70.7897682926829,96,2000
"50",180099752002,16.2037037037037,20.1388888888889,97.1988795518207,7.76173285198556,864,98.4962406015038,0,21.6,6.59722222222222,67.7581863979849,76.0705289672544,423,6.14657210401891,71.2574850299401,14.4208037825059,100,0.864,45.0890243902439,76.0501544715447,96,2000
"51",180099753001,14.4862795149968,20.7402680280791,94.75,6.0790273556231,1567,96.7889908256881,0.458015267175573,22.5,18.761965539247,62.2900763358779,70.6870229007634,715,8.53146853146853,62.2023809523809,21.1188811188811,100,1.567,46.0283790650407,69.7376910569106,96,2000
"52",180118102002,11.2367021276596,21.6090425531915,97.2355769230769,3.59342915811088,1504,100,0.547445255474453,23.1,6.841046277666,54.3795620437956,81.021897810219,587,7.49574105621806,66.4482306684142,15.6729131175468,0,1.504,57.3697716666667,127.151048780488,678,2000
